group,area,Daily Deaths,Daily Cases,Deaths,Cases,code,population,Deaths per Million,Cases per Million,date
world,Afghanistan,4,86,1548,41814,AFG,38.928341,40.0,1070.0,2020-11-05
world,Albania,7,421,543,22721,ALB,2.8778,189.0,7900.0,2020-11-05
world,Algeria,12,642,2011,60169,DZA,43.851043,46.0,1370.0,2020-11-05
world,Andorra,0,90,75,5135,AND,0.077265,971.0,66460.0,2020-11-05
world,Angola,3,289,299,12102,AGO,32.866268,9.0,370.0,2020-11-05
world,Antigua and Barbuda,0,0,3,130,ATG,0.097928,31.0,1330.0,2020-11-05
world,Argentina,246,11100,32766,1217028,ARG,45.195777,725.0,26930.0,2020-11-05
world,Armenia,28,2413,1476,99563,ARM,2.963234,498.0,33600.0,2020-11-05
world,Australia,0,14,907,27644,AUS,25.4597,36.0,1090.0,2020-11-05
world,Austria,41,7416,1268,132515,AUT,9.0064,141.0,14710.0,2020-11-05
world,Azerbaijan,14,1364,794,60873,AZE,10.139175,78.0,6000.0,2020-11-05
world,Bahamas,0,39,150,6882,BHS,0.393248,381.0,17500.0,2020-11-05
world,Bahrain,1,162,328,82786,BHR,1.701583,193.0,48650.0,2020-11-05
world,Bangladesh,17,1842,6021,416006,BGD,164.68938300000002,37.0,2530.0,2020-11-05
world,Barbados,0,0,7,239,BRB,0.287371,24.0,830.0,2020-11-05
world,Belarus,3,982,998,103295,BLR,9.449321,106.0,10930.0,2020-11-05
world,Belgium,189,11128,12520,479341,BEL,11.589616,1080.0,41360.0,2020-11-05
world,Belize,2,72,66,3977,BLZ,0.397621,166.0,10000.0,2020-11-05
world,Benin,0,0,43,2745,BEN,12.123198,4.0,230.0,2020-11-05
world,Bhutan,0,0,0,358,BTN,0.771612,0.0,460.0,2020-11-05
world,Bolivia,10,139,8768,142201,BOL,11.673029,751.0,12180.0,2020-11-05
world,Bosnia and Herzegovina,44,1908,1402,57506,BIH,3.280815,427.0,17530.0,2020-11-05
world,Botswana,3,1193,27,7835,BWA,2.351625,11.0,3330.0,2020-11-05
world,Brazil,0,0,161106,5590025,BRA,212.559409,758.0,26300.0,2020-11-05
world,Brunei,0,0,3,148,BRN,0.437483,7.0,340.0,2020-11-05
world,Bulgaria,52,3754,1518,68345,BGR,6.948445,218.0,9840.0,2020-11-05
world,Burkina Faso,0,11,67,2550,BFA,20.903278,3.0,120.0,2020-11-05
world,Burundi,0,0,1,606,BDI,11.890781,0.0,50.0,2020-11-05
world,Cabo Verde,2,96,97,9149,CPV,0.555988,174.0,16460.0,2020-11-05
world,Cambodia,0,0,0,292,KHM,16.718971,0.0,20.0,2020-11-05
world,Cameroon,0,0,429,22103,CMR,26.545864,16.0,830.0,2020-11-05
world,Canada,40,2917,10484,254739,CAN,37.855702,277.0,6730.0,2020-11-05
world,Central African Republic,0,0,62,4866,CAF,4.829764,13.0,1010.0,2020-11-05
world,Chad,0,12,99,1529,TCD,16.425859,6.0,90.0,2020-11-05
world,Chile,64,1540,14404,516582,CHL,19.116209,753.0,27020.0,2020-11-05
world,China,1,43,4741,91552,CHN,1404.67633,3.0,70.0,2020-11-05
world,Colombia,196,9891,32209,1117977,COL,50.882884,633.0,21970.0,2020-11-05
world,Comoros,0,3,7,557,COM,0.8695950000000001,8.0,640.0,2020-11-05
world,Congo (Brazzaville),0,0,114,5348,COG,5.518092,21.0,970.0,2020-11-05
world,Congo (Kinshasa),0,0,315,11450,COD,89.56140400000001,4.0,130.0,2020-11-05
world,Costa Rica,13,1106,1444,114367,CRI,5.094114,283.0,22450.0,2020-11-05
world,Cote d'Ivoire,0,11,126,20789,CIV,26.378275,5.0,790.0,2020-11-05
world,Croatia,29,2848,683,59415,HRV,4.105268,166.0,14470.0,2020-11-05
world,Cruise Ship,0,0,15,721,,,,,2020-11-05
world,Cuba,0,40,129,7184,CUB,11.326616,11.0,630.0,2020-11-05
world,Cyprus,0,166,26,5100,CYP,1.207361,22.0,4220.0,2020-11-05
world,Czechia,197,13229,4330,391945,CZE,10.708982,404.0,36600.0,2020-11-05
world,Denmark,4,1223,733,52265,DNK,5.792203,127.0,9020.0,2020-11-05
world,Djibouti,0,19,61,5599,DJI,0.988002,62.0,5670.0,2020-11-05
world,Dominica,0,7,0,57,DMA,0.071991,0.0,790.0,2020-11-05
world,Dominican Republic,3,546,2260,128824,DOM,10.847904,208.0,11880.0,2020-11-05
world,Ecuador,26,350,12730,171783,ECU,17.643060000000002,722.0,9740.0,2020-11-05
world,Egypt,11,201,6329,108530,EGY,102.334403,62.0,1060.0,2020-11-05
world,El Salvador,5,205,997,34782,SLV,6.486201,154.0,5360.0,2020-11-05
world,Equatorial Guinea,2,3,85,5092,GNQ,1.402985,61.0,3630.0,2020-11-05
world,Eritrea,0,4,0,484,ERI,3.546427,0.0,140.0,2020-11-05
world,Estonia,0,131,73,5464,EST,1.326539,55.0,4120.0,2020-11-05
world,Eswatini,0,12,117,5967,SWZ,1.160164,101.0,5140.0,2020-11-05
world,Ethiopia,5,510,1508,98391,ETH,114.963583,13.0,860.0,2020-11-05
world,Fiji,0,0,2,34,FJI,0.896444,2.0,40.0,2020-11-05
world,Finland,0,189,361,17119,FIN,5.540718,65.0,3090.0,2020-11-05
world,France,162,5850,39088,1650966,FRA,65.273512,599.0,25290.0,2020-11-05
world,Gabon,0,0,55,9005,GAB,2.225728,25.0,4050.0,2020-11-05
world,Gambia,0,1,120,3681,GMB,2.416664,50.0,1520.0,2020-11-05
world,Georgia,20,2401,401,49218,GEO,3.989175,101.0,12340.0,2020-11-05
world,Germany,161,22561,11110,631172,DEU,83.78394499999999,133.0,7530.0,2020-11-05
world,Ghana,0,145,320,48788,GHA,31.072945,10.0,1570.0,2020-11-05
world,Greece,29,2915,702,49807,GRC,10.423056,67.0,4780.0,2020-11-05
world,Grenada,0,0,0,30,GRD,0.112519,0.0,270.0,2020-11-05
world,Guatemala,14,702,3766,109849,GTM,17.915567000000003,210.0,6130.0,2020-11-05
world,Guinea,0,32,73,12363,GIN,13.132792000000002,6.0,940.0,2020-11-05
world,Guinea-Bissau,0,0,42,2414,GNB,1.967998,21.0,1230.0,2020-11-05
world,Guyana,0,69,130,4393,GUY,0.786559,165.0,5590.0,2020-11-05
world,Haiti,0,46,232,9100,HTI,11.402533,20.0,800.0,2020-11-05
world,Honduras,6,223,2736,99347,HND,9.904608,276.0,10030.0,2020-11-05
world,Hungary,84,3928,2147,94916,HUN,9.66035,222.0,9830.0,2020-11-05
world,Iceland,1,28,18,5017,ISL,0.34125,53.0,14700.0,2020-11-05
world,India,670,47638,124985,8411724,IND,1380.004385,91.0,6100.0,2020-11-05
world,Indonesia,89,4065,14348,425796,IDN,273.523621,52.0,1560.0,2020-11-05
world,Iran,406,8772,36985,654936,IRN,83.992953,440.0,7800.0,2020-11-05
world,Iraq,47,3701,11175,489571,IRQ,40.222503,278.0,12170.0,2020-11-05
world,Ireland,3,563,1933,64046,IRL,4.937796,391.0,12970.0,2020-11-05
world,Israel,13,570,2652,317980,ISR,8.655541,306.0,36740.0,2020-11-05
world,Italy,428,34502,40192,824879,ITA,60.461828,665.0,13640.0,2020-11-05
world,Jamaica,2,47,217,9373,JAM,2.961161,73.0,3170.0,2020-11-05
world,Japan,7,1036,1806,104964,JPN,126.476458,14.0,830.0,2020-11-05
world,Jordan,40,4630,1069,95864,JOR,10.20314,105.0,9400.0,2020-11-05
world,Kazakhstan,0,703,2259,152725,KAZ,18.776707,120.0,8130.0,2020-11-05
world,Kenya,21,1008,1072,59595,KEN,53.7713,20.0,1110.0,2020-11-05
world,Kiribati,0,0,0,0,,,,,2020-11-05
world,Kosovo,6,661,720,22206,XKS,1.810366,398.0,12270.0,2020-11-05
world,Kuwait,5,795,799,129638,KWT,4.270563,187.0,30360.0,2020-11-05
world,Kyrgyzstan,0,0,1498,61309,KGZ,6.524191,230.0,9400.0,2020-11-05
world,Laos,0,0,0,24,LAO,7.275556,0.0,0.0,2020-11-05
world,Latvia,3,367,88,7119,LVA,1.886202,47.0,3770.0,2020-11-05
world,Lebanon,7,2089,683,89186,LBN,6.825442,100.0,13070.0,2020-11-05
world,Lesotho,0,0,44,1963,LSO,2.142252,21.0,920.0,2020-11-05
world,Liberia,0,0,82,1436,LBR,5.057677,16.0,280.0,2020-11-05
world,Libya,7,853,907,65440,LBY,6.871287,132.0,9520.0,2020-11-05
world,Liechtenstein,0,39,3,742,LIE,0.038137,79.0,19460.0,2020-11-05
world,Lithuania,2,992,178,19070,LTU,2.722291,65.0,7010.0,2020-11-05
world,Luxembourg,6,803,177,21147,LUX,0.625976,283.0,33780.0,2020-11-05
world,Madagascar,0,0,244,17111,MDG,27.691019,9.0,620.0,2020-11-05
world,Malawi,0,6,184,5940,MWI,19.129955,10.0,310.0,2020-11-05
world,Malaysia,6,1009,277,36434,MYS,32.365998,9.0,1130.0,2020-11-05
world,Maldives,0,71,38,11893,MDV,0.540542,70.0,22000.0,2020-11-05
world,Mali,0,24,137,3633,MLI,20.250834,7.0,180.0,2020-11-05
world,Malta,1,174,70,6764,MLT,0.441539,159.0,15320.0,2020-11-05
world,Marshall Islands,0,0,0,2,,,,,2020-11-05
world,Mauritania,1,33,165,7777,MRT,4.64966,35.0,1670.0,2020-11-05
world,Mauritius,0,1,10,453,MUS,1.271767,8.0,360.0,2020-11-05
