group,area,Daily Deaths,Daily Cases,Deaths,Cases,code,population,Deaths per Million,Cases per Million,date
usa,Alabama,0,0,19541,1299137,AL,4.9,3988.0,265130.0,2022-04-24
usa,Alaska,0,0,1248,251506,AK,0.73,1710.0,344530.0,2022-04-24
usa,American Samoa,0,0,22,5708,AS,0.055,400.0,103780.0,2022-04-24
usa,Arizona,0,0,29852,2019174,AZ,7.28,4101.0,277360.0,2022-04-24
usa,Arkansas,2,49,11371,834995,AR,3.02,3765.0,276490.0,2022-04-24
usa,California,0,0,90014,9190572,CA,39.51,2278.0,232610.0,2022-04-24
usa,Colorado,0,0,12139,1375540,CO,5.76,2107.0,238810.0,2022-04-24
usa,Connecticut,0,0,10834,751810,CT,3.57,3035.0,210590.0,2022-04-24
usa,Cruise Ship,0,0,3,152,,,,,2022-04-24
usa,Delaware,0,0,2905,261399,DE,0.97,2995.0,269480.0,2022-04-24
usa,District of Columbia,0,0,1335,141355,DC,0.71,1880.0,199090.0,2022-04-24
usa,Florida,0,0,73830,5942723,FL,21.48,3437.0,276660.0,2022-04-24
usa,Georgia,0,0,37659,2509160,GA,10.62,3546.0,236270.0,2022-04-24
usa,Guam,0,0,354,47944,GU,0.165,2145.0,290570.0,2022-04-24
usa,Hawaii,0,0,1407,245035,HI,1.42,991.0,172560.0,2022-04-24
usa,Idaho,0,0,4922,445545,ID,1.79,2750.0,248910.0,2022-04-24
usa,Illinois,0,0,36001,3114036,IL,12.67,2841.0,245780.0,2022-04-24
usa,Indiana,0,0,23549,1696759,IN,6.73,3499.0,252120.0,2022-04-24
usa,Iowa,0,0,9510,762036,IA,3.16,3009.0,241150.0,2022-04-24
usa,Kansas,0,0,8596,774061,KS,2.91,2954.0,266000.0,2022-04-24
usa,Kentucky,0,0,15375,1325064,KY,4.47,3440.0,296430.0,2022-04-24
usa,Louisiana,0,0,17223,1171633,LA,4.65,3704.0,251960.0,2022-04-24
usa,Maine,0,0,2280,242033,ME,1.34,1701.0,180620.0,2022-04-24
usa,Maryland,0,0,14422,1024920,MD,6.05,2384.0,169410.0,2022-04-24
usa,Massachusetts,0,0,20222,1738231,MA,6.89,2935.0,252280.0,2022-04-24
usa,Michigan,0,0,35935,2411464,MI,9.99,3597.0,241390.0,2022-04-24
usa,Minnesota,0,0,12752,1443859,MN,5.64,2261.0,256000.0,2022-04-24
usa,Mississippi,0,0,12436,796840,MS,2.98,4173.0,267400.0,2022-04-24
usa,Missouri,0,0,20204,1419747,MO,6.63,3047.0,214140.0,2022-04-24
usa,Montana,0,0,3262,273489,MT,1.07,3049.0,255600.0,2022-04-24
usa,Nebraska,0,0,4197,479181,NE,1.93,2175.0,248280.0,2022-04-24
usa,Nevada,0,0,10684,710350,NV,3.08,3469.0,230630.0,2022-04-24
usa,New Hampshire,0,0,2475,307528,NH,1.36,1820.0,226120.0,2022-04-24
usa,New Jersey,2,1685,33376,2244918,NJ,8.88,3759.0,252810.0,2022-04-24
usa,New Mexico,0,0,7442,521018,NM,2.1,3544.0,248100.0,2022-04-24
usa,New York,9,5016,68231,5123612,NY,23.63,2887.0,216830.0,2022-04-24
usa,North Carolina,0,0,23363,2647650,NC,10.49,2227.0,252400.0,2022-04-24
usa,North Dakota,0,0,2261,240713,ND,0.76,2975.0,316730.0,2022-04-24
usa,Northern Mariana Islands,0,0,34,11221,MP,0.054,630.0,207800.0,2022-04-24
usa,Ohio,0,0,38360,2688327,OH,11.69,3281.0,229970.0,2022-04-24
usa,Oklahoma,0,0,15815,1039415,OK,3.96,3994.0,262480.0,2022-04-24
usa,Oregon,0,0,7478,714346,OR,4.22,1772.0,169280.0,2022-04-24
